Country,Number of births (2021),Number of deaths (2021),Suicide_Rate,Fertility _Rate,life - expectancy
India,23114000,13299618,12.7,2.2,67.2
China,10881567,10617528,8.1,1.7,78.2
Nigeria,7923294,2792704,3.5,5.4,52.7
Pakistan,6374741,1660400,8.9,3.5,66.1
Indonesia,4496383,2755190,2.4,2.3,67.6
Ethiopia,3895734,815212,5.4,4.2,65.0
United States,3722822,3280682,16.1,1.7,77.2
Bangladesh,3019672,962479,3.7,2,72.4
Brazil,2760958,1784239,6.9,1.7,72.8
Philippines,2485008,832888,2.2,2.6,69.3
Egypt,2465005,691381,3,3.3,70.2
Tanzania,2303114,395720,4.3,4.9,66.2
Mexico,1882362,1191718,5.3,2.1,70.2
Uganda,1686795,269420,4.6,5,62.7
Sudan,1534332,310515,3.8,4.4,65.3
Kenya,1468358,427272,6.1,3.5,61.4
Vietnam,1462623,713131,7.5,2,73.6
Afghanistan,1440941,295236,4.1,4.5,62.0
Russia,1397456,2458539,25.1,1.6,69.4
Angola,1338792,276278,6.1,5.5,61.6
Turkey,1244782,542597,2.4,2.1,76.0
Iran,1204105,565768,5.2,2.1,73.9
Iraq,1192345,207099,3.6,3.7,70.4
South Africa,1176955,678798,23.5,2.4,62.3
Mozambique,1174346,282145,13.6,4.9,59.3
Niger,1144371,205694,5.3,6.9,61.6
Yemen,1008936,226104,5.8,3.8,63.8
Algeria,950888,200842,2.5,3,76.4
Cameroon,950546,233498,9,4.6,60.3
Myanmar,920395,525701,2.9,2.2,65.7
Mali,912901,203297,4.1,5.9,58.9
Ghana,904679,250471,6.6,3.9,63.8
Madagascar,895045,205436,5.5,4.1,64.5
Japan,818509,1574533,15.3,1.4,84.8
Uzbekistan,802875,220493,8,2.4,70.9
Burkina Faso,785817,198073,7.5,5.2,59.3
Germany,763168,1039440,12.3,1.6,80.6
Chad,744834,214803,6.4,5.7,52.5
Colombia,730203,397649,3.9,1.8,72.8
France,677303,639714,13.8,1.9,82.5
United Kingdom,677219,652723,7.9,1.7,80.7
Zambia,672000,135787,7.3,4.6,61.2
Malawi,653703,138931,5.4,4.2,62.9
Morocco,650892,228888,7.2,2.4,74.0
Thailand,644325,567168,8.8,1.5,78.7
Argentina,629391,405428,8.4,2.3,75.4
Saudi Arabia,629339,103140,6,2.3,76.9
Nepal,609790,232398,9,1.9,68.4
Peru,593523,269050,2.8,2.3,72.4
Senegal,549984,99995,6,4.6,67.1
Malaysia,511313,202436,5.7,2,74.9
Zimbabwe,488807,144973,14.1,3.6,59.3
Benin,475832,122627,7.8,4.8,59.8
Guinea,465954,135224,7,4.7,58.9
Venezuela,451855,231205,2.1,2.3,70.6
Burundi,437599,93864,6.2,5.4,61.7
Kazakhstan,413483,196490,17.6,2.8,69.4
Italy,410487,680373,6.7,1.3,82.9
Rwanda,403681,84576,5.6,4,66.1
Canada,373728,297242,11.8,1.5,82.7
Guatemala,372146,114597,5.9,2.9,69.2
Poland,363427,502541,11.3,1.5,76.5
Spain,357652,454123,7.7,1.3,83.0
North Korea,343885,241887,9.4,1.9,73.3
Ukraine,336096,731364,21.6,1.3,71.6
Cambodia,320934,113507,4.9,2.5,69.6
South Sudan,313347,118956,3.9,4.7,55.0
Sri Lanka,305877,160593,14,2.2,76.4
Ecuador,298989,119463,7.6,2.4,73.7
Australia,298496,166082,12.5,1.7,84.5
South Korea,289006,334677,28.6,1,83.7
Togo,275435,70622,8.8,4.3,61.6
Haiti,269377,99459,9.6,2.9,63.2
Sierra Leone,264106,76745,6.7,4.3,60.1
Bolivia,263820,120158,6.2,2.7,63.6
Tajikistan,260838,44345,4.3,3.6,71.6
Papua New Guinea,253720,66458,3,3.6,65.4
Jordan,244557,43100,1.6,2.8,74.3
Central African Republic,234821,62683,12.3,4.7,53.9
Chile,229116,144326,9,1.6,78.9
Honduras,216645,57654,2.1,2.5,70.1
Dominican Republic,205050,74290,4.9,2.3,72.6
Tunisia,197396,96709,3.3,2.2,73.8
Romania,195366,314232,9.7,1.8,74.2
Netherlands,180273,168003,11.8,1.6,81.7
Israel,174335,49845,5.3,3.1,82.3
Laos,163261,49136,5.4,2.7,68.1
Liberia,162685,45955,4.5,4.3,60.7
Kyrgyzstan,157661,40495,7.4,3.3,70.0
Mauritania,153242,34347,3.1,4.6,64.4
Nicaragua,140589,33308,4.4,1.7,73.8
Paraguay,138365,51237,6,2.4,70.3
Turkmenistan,136968,41769,5.7,2.8,69.3
Azerbaijan,127085,94932,4.1,1.7,69.4
Libya,120072,40532,4.5,2.2,71.9
Belgium,116448,110280,18.3,1.6,81.9
Sweden,113322,92278,14.7,1.8,83.0
Eritrea,103861,24415,10.9,4.1,66.5
El Salvador,101405,54803,6.1,2,70.7
Cuba,100445,164950,14.5,1.6,73.7
United Arab Emirates,96536,17548,6.4,1.4,78.7
Hungary,91895,154245,16.6,1.6,74.5
Belarus,88853,158349,21.2,1.4,72.4
Gambia,87840,19923,4.8,5.2,62.1
Switzerland,87086,69734,14.5,1.5,84.0
Austria,84647,89691,14.6,1.5,81.6
Lebanon,84450,46727,2.8,2.1,75.0
Oman,83496,17206,4.9,2.9,72.5
Portugal,80480,123550,11.5,1.4,81.0
Greece,79072,135773,5.1,1.4,80.1
Panama,76933,26382,2.9,2.5,76.2
Mongolia,71668,20520,17.9,2.9,71.0
Namibia,69486,27119,9.7,3.4,59.3
Serbia,67609,138202,11.4,1.5,74.2
New Zealand,63557,33869,11,2,82.5
Gabon,63525,16987,8.4,4,65.8
Denmark,63148,58422,10.7,1.7,81.4
Costa Rica,61176,37055,8.1,1.8,77.0
Botswana,60999,24478,16.1,2.9,61.1
Lesotho,59581,32376,72.4,3.1,53.1
Ireland,58563,35151,9.6,1.8,82.0
Bulgaria,58112,153894,9.7,1.6,71.8
Slovakia,54351,72471,12.1,1.5,74.9
Norway,53868,41871,11.8,1.6,83.2
Georgia,50430,57023,9.2,2.1,71.7
Equatorial Guinea,49749,14750,7.9,4.5,60.6
Finland,46891,57283,15.3,1.4,82.0
Kuwait,44412,12398,2.9,2.1,78.7
Singapore,42215,31862,11.2,1.1,82.8
Moldova,38146,50200,14.7,1.3,68.8
Uruguay,35892,41681,21.2,2,75.4
Croatia,34733,62262,16.4,1.5,77.6
Armenia,33700,36379,3.3,1.8,72.0
Jamaica,33150,24899,2.4,2,70.5
Albania,29289,32392,4.3,1.6,76.5
Eswatini,28831,13566,29.4,3,57.1
Bosnia and Herzegovina,27646,51587,10.9,1.3,75.3
Lithuania,26862,50975,26.1,1.6,73.7
Qatar,26529,3542,5.8,1.9,79.3
Djibouti,24541,10109,9.6,2.7,62.3
Comoros,24180,7171,5.4,4.2,63.4
Solomon Islands,21098,3561,14.7,4.4,70.3
North Macedonia,20114,29194,9.4,1.5,73.8
Slovenia,19147,22948,19.8,1.6,80.7
Fiji,17943,8218,9,2.8,67.1
Trinidad and Tobago,17814,13917,8.7,1.7,73.0
Bahrain,17501,3638,8.9,2,78.8
Latvia,17024,36094,20.1,1.6,73.6
Guyana,16375,8057,40.3,2.5,65.7
Estonia,13639,18826,14.9,1.7,77.1
Mauritius,13437,12527,9.5,1.4,73.6
Cyprus,12820,9021,3.6,1.3,81.2
Suriname,11133,5315,25.4,2.4,70.3
Bhutan,9703,5035,4.6,2,71.8
Vanuatu,9398,1722,18,3.8,70.4
Maldives,7337,1573,2.7,1.9,79.9
Belize,7186,2540,7.1,2.3,70.5
Montenegro,6965,7556,21,1.7,76.3
Luxembourg,6589,4341,11.3,1.4,82.6
Brunei,6147,2321,2.7,1.8,74.6
Samoa,5975,1171,12.6,3.9,72.8
Bahamas,4666,3663,3.5,1.8,71.6
Malta,4664,3819,6.1,1.2,83.8
Iceland,4572,2512,11.9,1.7,82.7
Kiribati,3510,805,28.3,3.6,67.4
Barbados,3046,2533,0.6,1.6,77.6
Tonga,2454,742,3.8,3.6,71.0
Saint Lucia,2064,1850,7.9,1.4,71.1
Grenada,1990,1016,0.7,2.1,74.9
Seychelles,1642,955,8.1,2.4,71.3
Saint Vincent and the Grenadines,1348,1403,1,1.9,69.6
Antigua and Barbuda,1129,593,0.4,2,78.5
